299.645, 129.803, 5.730,  6.650 False
299.358, 129.820, 5.777,  6.700 False
299.068, 129.836, 5.829,  6.750 False
298.775, 129.853, 5.876,  6.800 False
298.480, 129.870, 5.927,  6.850 False
298.183, 129.887, 5.973,  6.900 False
297.883, 129.904, 6.024,  6.950 False
297.581, 129.922, 6.068,  7.000 False
297.276, 129.940, 6.117,  7.050 False
296.969, 129.958, 6.161,  7.100 False
296.660, 129.976, 6.209,  7.150 False
296.349, 129.995, 6.252,  7.200 False
296.035, 130.013, 6.300,  7.250 False
295.719, 130.032, 6.342,  7.300 False
295.401, 130.051, 6.390,  7.350 False
295.081, 130.070, 6.432,  7.400 False
294.758, 130.090, 6.479,  7.450 False
294.434, 130.109, 6.520,  7.500 False
294.107, 130.129, 6.567,  7.550 False
293.778, 130.149, 6.608,  7.600 False
293.446, 130.167, 6.655,  7.650 False
293.113, 130.188, 6.695,  7.700 False
292.777, 130.211, 6.742,  7.750 False
292.439, 130.233, 6.784,  7.800 False
292.099, 130.254, 6.831,  7.850 False
291.757, 130.276, 6.871,  7.900 False
291.413, 130.297, 6.915,  7.950 False
291.066, 130.319, 6.953,  8.000 False
290.718, 130.341, 6.997,  8.050 False
290.368, 130.362, 7.036,  8.100 False
290.015, 130.384, 7.080,  8.150 False
289.660, 130.406, 7.120,  8.200 False
289.303, 130.428, 7.165,  8.250 False
288.945, 130.449, 7.204,  8.300 False
288.583, 130.471, 7.249,  8.350 False
288.220, 130.493, 7.288,  8.400 False
287.855, 130.515, 7.333,  8.450 False
287.488, 130.536, 7.371,  8.500 False
287.118, 130.558, 7.416,  8.550 False
286.747, 130.580, 7.455,  8.600 False
286.373, 130.601, 7.501,  8.650 False
285.997, 130.621, 7.539,  8.700 False
285.620, 130.642, 7.584,  8.750 False
285.240, 130.663, 7.623,  8.800 False
284.857, 130.684, 7.668,  8.850 False
284.473, 130.705, 7.706,  8.900 False
284.087, 130.725, 7.750,  8.950 False
283.699, 130.744, 7.788,  9.000 False
283.308, 130.762, 7.833,  9.050 False
282.916, 130.779, 7.871,  9.100 False
282.521, 130.796, 7.917,  9.150 False
282.124, 130.808, 7.952,  9.200 False
281.725, 130.817, 7.998,  9.250 False
281.324, 130.828, 8.039,  9.300 False
280.921, 130.839, 8.086,  9.350 False
280.515, 130.848, 8.126,  9.400 False
280.108, 130.857, 8.172,  9.450 False
279.698, 130.865, 8.210,  9.500 False
279.286, 130.873, 8.254,  9.550 False
278.872, 130.878, 8.285,  9.600 False
278.457, 130.884, 8.308,  9.650 False
278.042, 130.888, 8.323,  9.700 False
277.625, 130.892, 8.334,  9.750 False
277.209, 130.896, 8.342,  9.800 False
276.791, 130.899, 8.349,  9.850 False
276.374, 130.902, 8.354,  9.900 False
275.956, 130.904, 8.358,  9.950 False
275.538, 130.905, 8.362, 10.000 False
275.120, 130.905, 8.365, 10.050 False
274.702, 130.905, 8.367, 10.100 False
274.284, 130.904, 8.369, 10.150 False
273.866, 130.903, 8.370, 10.200 False
273.447, 130.901, 8.371, 10.250 False
273.029, 130.898, 8.372, 10.300 False
272.610, 130.894, 8.372, 10.350 False
272.191, 130.890, 8.372, 10.400 False
271.773, 130.886, 8.373, 10.450 False
271.354, 130.882, 8.373, 10.500 False
270.936, 130.875, 8.372, 10.550 False
270.517, 130.869, 8.372, 10.600 False
270.099, 130.863, 8.371, 10.650 False
269.680, 130.856, 8.371, 10.700 False
269.262, 130.848, 8.370, 10.750 False
268.844, 130.840, 8.369, 10.800 False
268.425, 130.831, 8.368, 10.850 False
268.007, 130.822, 8.368, 10.900 False
267.589, 130.813, 8.367, 10.950 False
267.171, 130.804, 8.366, 11.000 False
266.753, 130.794, 8.365, 11.050 False
266.334, 130.783, 8.364, 11.100 False
265.916, 130.771, 8.363, 11.150 False
265.498, 130.760, 8.362, 11.200 False
265.081, 130.748, 8.362, 11.250 False
264.663, 130.736, 8.361, 11.300 False
264.245, 130.724, 8.360, 11.350 False
263.827, 130.711, 8.359, 11.400 False
263.409, 130.698, 8.358, 11.450 False
262.992, 130.685, 8.357, 11.500 False
262.574, 130.670, 8.356, 11.550 False
262.157, 130.655, 8.355, 11.600 False
261.739, 130.640, 8.355, 11.650 False
261.322, 130.626, 8.354, 11.700 False
260.904, 130.610, 8.354, 11.750 False
260.487, 130.595, 8.353, 11.800 False
260.070, 130.579, 8.352, 11.850 False
259.652, 130.563, 8.352, 11.900 False
259.235, 130.547, 8.351, 11.950 False
258.818, 130.531, 8.350, 12.000 False
258.401, 130.515, 8.350, 12.050 False
257.983, 130.499, 8.349, 12.100 False
257.566, 130.482, 8.349, 12.150 False
257.149, 130.466, 8.348, 12.200 False
256.732, 130.449, 8.347, 12.250 False
256.315, 130.432, 8.347, 12.300 False
255.898, 130.415, 8.346, 12.350 False
255.481, 130.398, 8.346, 12.400 False
255.064, 130.381, 8.345, 12.450 False
254.647, 130.363, 8.345, 12.500 False
254.231, 130.346, 8.345, 12.550 False
253.814, 130.328, 8.344, 12.600 False
253.397, 130.311, 8.344, 12.650 False
252.980, 130.293, 8.343, 12.700 False
252.563, 130.276, 8.343, 12.750 False
252.147, 130.258, 8.343, 12.800 False
251.730, 130.240, 8.342, 12.850 False
251.313, 130.223, 8.342, 12.900 False
250.896, 130.205, 8.342, 12.950 False
250.480, 130.187, 8.341, 13.000 False
250.063, 130.169, 8.341, 13.050 False
249.646, 130.151, 8.341, 13.100 False
